date;STN---;WBAN ; YEARMODA;   TEMP;  ;   DEWP;  ;  SLP  ;  ;  STP  ;  ; VISIB;  ;  WDSP;  ; MXSPD;  GUST;   MAX  ;  MIN  ;PRCP  ;SNDP ; FRSHTT
5-08-2016;261340;99999;20160805;   64.4;24;   60.5;22; 1012.9;24; 1006.5;24;  11.6;24;   4.0;23;   7.2;  14.4;   74.1 ;  56.7 ; 0.11G;999.9;110000
6-08-2016;261340;99999;20160806;   62.9;24;   59.4;24; 1013.9;24; 1007.5;24;  15.4;24;   3.3;24;   7.0;  12.2;   70.7 ;  57.4 ; 0.24G;999.9;110000
7-08-2016;261340;99999;20160807;   61.7;24;   57.6;21; 1013.3;24; 1006.9;24;  15.5;24;   2.5;24;   5.4;  12.0;   70.2 ;  54.1 ; 0.18G;999.9;110000
8-08-2016;261340;99999;20160808;   63.9;24;   57.5;23; 1009.5;24; 1003.1;24;  21.1;24;   7.7;24;  14.2;  26.4;   71.6 ;  53.2 ; 0.09G;999.9;0
10-08-2016;261340;99999;20160810;   58.2;24;   51.6;24; 1012.9;24; 1006.4;24;  22.5;24;   5.9;24;  11.7;  18.5;   64.8 ;  52.3 ; 0.21G;999.9;10000
11-08-2016;261340;99999;20160811;   55.4;24;   49.8;24; 1011.6;24; 1005.1;24;  23.8;24;   5.9;24;  11.1;  20.4;   64.4 ;  46.2 ; 0.12G;999.9;10000
12-08-2016;261340;99999;20160812;   53.8;24;   44.8;24; 1016.6;24; 1010.0;24;  26.9;24;   4.5;24;   8.4;  13.6;   65.1 ;  38.7 ; 0.09G;999.9;0
15-08-2016;261340;99999;20160815;   53.2;24;   49.5;23; 1011.1;24; 1004.6;24;  19.8;24;   2.8;23;   5.8;  16.1;   63.0 ;  42.8 ; 0.77G;999.9;110000
18-08-2016;261340;99999;20160818;   59.5;24;   57.0;22; 1012.1;24; 1005.7;24;  24.0;24;   6.0;24;   9.9;  17.9;   66.2 ;  55.9 ; 0.05G;999.9;10000
19-08-2016;261340;99999;20160819;   62.0;24;   56.2;23; 1015.1;24; 1008.7;24;  18.0;24;   5.7;24;  10.9;  18.5;   73.8 ;  52.5 ; 0.20G;999.9;110000
22-08-2016;261340;99999;20160822;   64.4;24;   60.6;24; 1019.2;24; 1012.8;24;  19.0;24;   4.2;23;   7.4;  13.0;   76.3 ;  58.1 ;99.99 ;999.9;10000
26-08-2016;261340;99999;20160826;   66.7;24;   59.7;24; 1017.5;24; 1011.1;24;  19.1;24;   5.7;24;   8.7;  15.7;   77.0 ;  60.6 ;99.99 ;999.9;10000
29-08-2016;261340;99999;20160829;   59.1;24;   58.0;24; 1006.8;24; 1000.4;24;  14.0;24;   5.3;24;   8.7;  14.0;   65.7 ;  54.7 ; 0.44G;999.9;10000
5-09-2016;261340;99999;20160905;   55.0;24;   52.6;19; 1013.3;24; 1006.8;24;  15.0;24;   3.2;23;   9.1;  13.2;   65.5 ;  44.6*; 0.00G;999.9;100000
12-09-2016;261340;99999;20160912;   60.1;24;   52.6;20; 1019.0;24; 1012.5;24;  17.1;24;   3.7;24;   5.8;  12.2;   70.7 ;  46.4 ; 0.00I;999.9;0
17-09-2016;261340;99999;20160917;   51.4;24;   47.3;23; 1022.8;24; 1016.2;24;  26.9;24;   2.6;23;   5.8; 999.9;   57.6 ;  47.5 ; 0.00I;999.9;0
22-09-2016;261340;99999;20160922;   49.2;24;   45.9;22; 1020.4;24; 1013.8;24;  16.8;24;   4.4;24;   9.3;  15.2;   58.1 ;  36.1 ; 0.01G;999.9;10000
29-09-2016;261340;99999;20160929;   56.6;23;   54.9;22; 1000.7;23;  994.3;23;  10.1;23;   8.2;23;  14.6;  27.2;   60.6 ;  49.5 ; 0.17G;999.9;110000
6-10-2016;261340;99999;20161006;   45.8;24;   39.0;24; 1031.5;24; 1024.8;24;  29.6;24;   9.8;24;  17.1;  26.2;   52.2 ;  41.9 ; 0.00G;999.9;0
13-10-2016;261340;99999;20161013;   34.7;24;   33.2;22; 1033.3;24; 1026.4;24;  15.5;24;   3.0;23;   6.4;  10.9;   38.5 ;  22.5 ; 0.00I;999.9;0
20-10-2016;261340;99999;20161020;   33.0;24;   28.2;23; 1030.9;24; 1024.0;24;  13.2;24;   5.6;24;   9.9;  15.0;   42.8 ;  24.6 ; 0.02G;999.9;0
27-10-2016;261340;99999;20161027;   41.5;24;   41.4;23; 1021.7;24; 1014.9;24;   8.3;23;   7.7;24;  11.3;  20.6;   45.9 ;  28.6 ; 0.25G;999.9;10000
5-11-2016;261340;99999;20161105;   21.0;24;   18.9;23; 1018.6;24; 1011.6;24;   6.2;24;   1.4;21;   4.3; 999.9;   36.5 ;  12.9 ; 0.01G;  2.4;100000
10-11-2016;261340;99999;20161110;   26.0;22;   24.5;22; 1014.4;22; 1007.5;22;  10.2;22;   5.7;22;   9.7;  14.6;   28.2 ;  19.8 ; 0.01G;999.9;1000
17-11-2016;261340;99999;20161117;   37.3;24;   37.2;22; 1002.7;24;  996.1;24;   3.2;23;   7.7;24;  11.7;  19.8;   39.4 ;  33.1 ; 0.15G;  1.2;110000
24-11-2016;261340;99999;20161124;   38.9;24;   36.2;24; 1010.3;24; 1003.6;24;  15.8;24;   9.5;24;  13.6;  32.6;   43.0 ;  35.6 ; 0.09G;999.9;110000
29-11-2016;261340;99999;20161129;   24.1;24;   20.7;24; 1018.3;24; 1011.4;24;  26.5;24;   5.2;23;  11.1;  19.8;   31.6 ;  14.7 ; 0.00G;  0.4;1000
23-12-2016;261340;99999;20161223;   37.4;24;   34.9;24; 1015.2;24; 1008.5;24;  13.1;24;   6.5;24;   9.7;  18.3;   39.9 ;  32.9 ; 0.03G;999.9;10000
9-01-2017;261340;99999;20170109;   32.9;24;   32.0;24; 1017.8;24; 1011.0;24;   7.7;24;   6.6;24;   9.1;  18.5;   33.8 ;  30.2 ; 0.02G;999.9;11000
19-01-2017;261340;99999;20170119;   35.4;24;   34.8;24; 1019.2;24; 1012.4;24;   8.3;24;   6.1;24;   8.2;  17.3;   36.7 ;  33.3 ; 0.03G;999.9;100000
27-01-2017;261340;99999;20170127;   32.6;24;   32.6;23; 1023.4;24; 1016.6;24;   0.8;24;   2.7;23;   4.1; 999.9;   36.9 ;  30.7 ; 0.01G;999.9;101000
3-02-2017;261340;99999;20170203;   29.8;24;   29.4;24; 1015.5;24; 1008.6;24;   1.7;24;   4.0;24;   5.8;   9.9;   30.7 ;  25.7 ; 0.03G;999.9;111000
10-02-2017;261340;99999;20170210;   15.4;24;   13.7;24; 1047.2;24; 1039.9;24;  14.6;24;   3.3;23;   5.8;   9.9;   21.4 ;   4.1 ; 1.97G;999.9;1000
17-02-2017;261340;99999;20170217;   33.6;24;   33.2;23; 1009.1;24; 1002.3;24;   2.0;24;   4.8;24;   7.6;  12.4;   34.7 ;  31.1 ; 0.13G;999.9;110000
3-03-2017;261340;99999;20170303;   33.3;5;   32.6;5; 1000.0;5;  993.4;5;   4.4;5;   6.2;5;   7.8; 999.9;   35.8 ;  31.8 ;99.99 ;999.9;11000
10-03-2017;261340;99999;20170310;   34.2;24;   31.1;24; 1015.5;24; 1008.7;24;   9.9;24;   1.9;22;   4.5; 999.9;   41.7 ;  29.1 ; 0.39G;999.9;0
17-03-2017;261340;99999;20170317;   35.3;24;   33.1;24;  997.7;24;  991.0;24;  11.2;24;   9.4;18;  15.5;  23.3;   41.5 ;  30.0 ; 0.37G;999.9;10000
24-03-2017;261340;99999;20170324;   32.4;24;   24.7;24; 1022.1;24; 1015.3;24;  27.0;24;   5.5;24;  10.7;  19.8;   44.1 ;  25.9 ; 0.00G;999.9;100000
31-03-2017;261340;99999;20170331;   31.4;24;   29.7;24; 1015.9;24; 1009.1;24;  14.3;24;   3.8;24;   6.2;  11.5;   37.9 ;  25.7 ; 0.16G;  2.0;101000
7-04-2017;261340;99999;20170407;   38.1;24;   33.6;24; 1008.4;24; 1001.7;24;  24.3;24;   4.6;24;  13.6;  19.2;   47.7 ;  28.4 ; 0.18G;999.9;10000
14-04-2017;261340;99999;20170414;   31.0;24;   22.1;24; 1005.8;24;  999.0;24;  22.8;24;   4.2;23;   8.0;  12.8;   36.7 ;  24.3 ; 0.00G;999.9;1000
21-04-2017;261340;99999;20170421;   41.5;24;   34.9;24; 1000.6;24;  994.0;24;  15.7;24;   6.1;24;  11.7;  20.2;   50.4 ;  32.4 ; 0.26G;999.9;11000
28-04-2017;261340;99999;20170428;   40.8;24;   29.3;24; 1020.1;24; 1013.3;24;  20.8;24;   5.1;24;  10.3;  15.9;   52.3 ;  26.2 ; 0.00G;999.9;100000
6-05-2017;261340;99999;20170506;   50.8;24;   35.0;24; 1013.2;24; 1006.8;24;  27.3;24;   5.9;24;  11.7;  15.5;   61.7 ;  38.7 ; 0.00I;999.9;0
12-05-2017;261340;99999;20170512;   38.8;24;   19.5;24; 1017.0;24; 1010.4;24;  25.2;24;   5.9;16;  11.7; 999.9;   50.9 ;  22.6 ; 0.00I;999.9;0
19-05-2017;261340;99999;20170519;   64.7;24;   49.1;24; 1015.7;24; 1009.4;24;  16.4;24;   5.4;22;   9.7; 999.9;   78.8 ;  48.7*; 0.00I;999.9;100000
26-05-2017;261340;99999;20170526;   55.1;24;   40.9;24; 1014.7;24; 1008.4;24;  28.6;24;   5.7;24;  11.7; 999.9;   66.4 ;  43.2 ; 0.00I;999.9;0
2-06-2017;261340;99999;20170602;   43.1;24;   31.5;24; 1010.8;24; 1004.3;24;  28.2;24;  10.1;24;  17.5; 999.9;   50.5 ;  35.2 ; 0.00I;999.9;0
9-06-2017;261340;99999;20170609;   55.7;24;   51.4;24; 1017.2;24; 1010.9;24;  11.2;24;   3.3;16;   7.8; 999.9;   66.6 ;  45.1 ;99.99 ;999.9;110000
21-06-2017;261340;99999;20170621;   52.6;24;   44.3;24; 1005.0;24;  998.6;24;  27.7;24;   7.4;24;  11.7; 999.9;   60.3 ;  46.6 ;99.99 ;999.9;10000
27-06-2017;261340;99999;20170627;   55.1;24;   47.0;24; 1004.2;24;  997.8;24;  27.9;24;   7.1;24;  11.7; 999.9;   62.8 ;  48.4 ; 0.00I;999.9;0
7-07-2017;261340;99999;20170707;   56.4;24;   43.2;24; 1015.3;24; 1008.9;24;  21.8;24;   3.6;18;   5.8; 999.9;   68.7 ;  37.9 ;99.99 ;999.9;110000
12-07-2017;261340;99999;20170712;   62.8;24;   56.9;24; 1002.9;24;  996.7;24;  15.7;24;   5.5;24;   7.8; 999.9;   73.8 ;  55.2*;99.99 ;999.9;10000
2-08-2017;261340;99999;20170802;   63.7;24;   58.0;24; 1010.7;24; 1004.4;24;  20.1;24;   4.8;24;   7.8; 999.9;   72.7 ;  58.1*;99.99 ;999.9;10000
9-08-2017;261340;99999;20170809;   64.2;24;   52.1;24; 1022.3;24; 1016.0;24;  20.6;24;   5.2;22;   7.8; 999.9;   75.9 ;  45.5 ; 0.00I;999.9;100000
14-08-2017;261340;99999;20170814;   58.3;24;   47.9;24; 1021.4;24; 1015.0;24;  16.7;24;   4.4;21;   7.8; 999.9;   72.0 ;  43.7 ;99.99 ;999.9;10000
