date;plot;NH4_N;NO3_N;PO4_P;Total_P;pH;TN;TOC;DOC;TC;DC;TIC;DIC;DN
05-08-2016;2;0,9;0,073;13,601;49,652;8,34;1,09;8,2;4;68;64;60;60;1
05-08-2016;2;0,892;0,073;15,813;49,287;;1,09;10;4,4;71;65;61;61;1
05-08-2016;2;0,887;0,073;14,339;49,81;;1,09;12;4,5;71;64;59;59;1,01
05-08-2016;1;1,078;0,498;5,338;39,196;8,31;1,72;10;3,2;68;61;58;58;1,51
05-08-2016;1;1,094;0,495;5,028;38,516;;1,72;8,7;2,9;65;59;56;56;1,49
05-08-2016;1;1,089;0,495;5,073;39,583;;1,72;7,8;2,8;65;60;57;57;1,5
06-08-2016;2;0,529;0,632;20,548;57,009;8,01;2,12;10;6,9;80;77;70;70;1,62
06-08-2016;2;0,54;0,634;20,883;56,924;;2,22;12;6,5;82;77;70;70;1,72
06-08-2016;2;0,538;0,633;21,135;57,351;;2,12;12;6,9;82;77;70;70;1,62
06-08-2016;1;0,528;0,267;5,443;40,154;7,61;1,42;9,8;3,3;74;68;64;64;1,13
06-08-2016;1;0,538;0,268;5,598;40,21;;1,43;9,2;3,4;73;67;64;64;1,12
06-08-2016;1;0,54;0,266;5,846;40,481;;1,42;9;3,3;73;67;64;64;1,12
07-08-2016;2;0,716;0,09;18,559;53,594;7,71;1,46;11;6,6;81;77;70;70;1,22
07-08-2016;2;0,716;0,091;18,395;54,179;;1,46;10;6,2;81;77;71;71;1,23
07-08-2016;2;0,72;0,091;18,266;54,121;;1,49;10;6,6;81;78;71;71;1,24
07-08-2016;1;0,633;0,503;5,011;40,955;7,95;1,35;10;8,9;72;70;61;61;1,17
07-08-2016;1;0,649;0,501;5,022;40,352;;1,39;8,3;7,8;72;72;64;64;1,2
07-08-2016;1;0,632;0,499;5,016;40,096;;1,38;9;8,8;73;73;64;64;1,2
08-08-2016;2;0,609;0,301;21,093;57,451;8,15;1,62;9,3;6,6;79;76;70;70;1,38
08-08-2016;2;0,614;0,301;21,282;57,444;;1,62;10;6,8;77;73;67;67;1,38
08-08-2016;2;0,625;0,301;21,381;56,187;;1,62;10;6,6;76;72;65;65;1,38
08-08-2016;1;0,617;0,469;6,298;43,106;7,26;1,62;9;4;66;61;57;57;1,4
08-08-2016;1;0,612;0,471;6,542;43,285;;1,62;11;4,2;66;60;56;56;1,39
08-08-2016;1;0,627;0,468;6,249;43,422;;1,62;9,2;4;66;61;57;57;1,5
10-08-2016;2;0,589;0,138;18,312;53,571;7,99;1,27;5;4,6;70;70;65;65;1,09
10-08-2016;2;0,588;0,14;18,117;52,06;;1,38;6,9;4,6;72;70;65;65;1,12
10-08-2016;2;0,592;0,141;18,251;52,451;;1,38;6,8;4,6;72;70;65;65;1,12
10-08-2016;1;0,611;0,293;4,934;37,836;7,76;1,3;3,1;2,6;79;78;76;76;1,15
10-08-2016;1;0,606;0,291;4,936;37,86;;1,24;3,4;2,7;77;76;74;74;1,07
10-08-2016;1;0,609;0,289;4,935;37,441;;1,25;3,2;2,8;76;75;72;72;1,08
11-08-2016;2;0,735;0,09;17,41;49,999;8,17;1,23;5;4,3;72;71;67;67;1,05
11-08-2016;2;0,734;0,091;17,342;49,478;;1,23;5,2;4,2;72;71;67;67;0,95
11-08-2016;2;0,731;0,092;17,408;49,766;;1,21;5,4;4,3;72;71;67;67;0,95
11-08-2016;1;0,837;0,263;4,915;36,602;8,27;1,35;3;2,6;62;62;59;59;1,12
11-08-2016;1;0,842;0,262;5,318;37,048;;1,32;3,1;2,5;62;61;59;59;1,03
11-08-2016;1;0,837;0,263;5,104;37,283;;1,32;3;2,7;62;62;59;59;1,04
12-08-2016;2;0,677;0,09;16,198;51,688;8,33;1,34;4,5;3,6;72;71;68;68;0,97
12-08-2016;2;0,678;0,092;16,571;52,354;;1,35;5,1;3,6;72;71;67;67;0,84
12-08-2016;2;0,678;0,091;16,41;51,759;;1,33;4,5;3,1;70;69;66;66;0,85
12-08-2016;1;0,804;0,202;5,035;36,548;8,12;1,24;5,3;2,5;65;62;60;60;1,13
12-08-2016;1;0,794;0,2;4,943;36,619;;1,33;5,3;2,6;65;62;60;60;1,14
12-08-2016;1;0,796;0,201;5,03;35,827;;1,33;3,4;2,5;62;61;59;59;1,15
15-08-2016;2;0,918;0,223;18,637;53,378;8,34;1,46;12;9,7;75;73;63;65;1,46
15-08-2016;2;0,916;0,222;18,218;53,442;;1,46;12;8,4;74;74;62;66;1,46
15-08-2016;2;0,916;0,223;18,633;53,238;;1,45;11;9,7;75;75;64;65;1,45
15-08-2016;1;0,9;0,423;5,628;38,467;8,07;1,42;5,5;3,6;68;68;63;63;1,4
15-08-2016;1;0,893;0,423;5,536;38,64;;1,47;6,2;3,5;68;68;62;64;1,46
15-08-2016;1;0,892;0,423;5,146;39,593;;1,47;6,6;3,6;67;67;60;63;1,46
12-09-2016;2;0,506;4,145;13,702;38,687;7,72;6,42;10;3,6;70;62;60;58;6,02
12-09-2016;2;0,508;4,112;14,276;38,54;;6,32;9,2;3,9;71;62;62;58;6,22
12-09-2016;2;0,507;4,11;13,968;38,718;;6,32;9,3;3,8;71;62;62;58;6,02
12-09-2016;1;0,572;1,612;6,238;30,178;7,2;3,42;7,3;2,6;63;57;56;54;3,32
12-09-2016;1;0,571;1,614;5,684;30,279;;3,52;6,8;2,5;64;57;57;54;3,32
12-09-2016;1;0,579;1,607;5,625;30,425;;3,42;7;2,6;63;57;56;54;3,32
17-09-2016;2;0,614;2,766;13,034;37,774;7,88;4,554;9,878;4,1;87;81;77;77;3,72
17-09-2016;2;0,611;2,761;13,29;38,036;;4,551;6,925;4;86;81;79;77;3,72
17-09-2016;2;0,612;2,762;13,282;37,878;;4,52;9,1;4,1;87;81;77;77;3,82
17-09-2016;1;0,521;0,949;6,439;32,133;7,18;1,6;6,345;2,8;73;71;68;68;1,5
17-09-2016;1;0,524;0,957;6,757;32,086;;1,699;5;2,7;74;71;69;68;1,62
17-09-2016;1;0,529;0,952;6,583;32,251;;1,497;5,088;2,7;73;71;68;68;1,52
22-09-2016;2;0,549;2,109;7,027;32,141;8,18;3,072;5,768;3,9;55;53;49;49;2,92
22-09-2016;2;0,55;2,104;6,966;31,81;;3,198;5,137;4;55;53;50;49;2,92
22-09-2016;2;0,552;2,105;7,028;31,784;;3,12;5,2;4;55;53;50;49;2,92
22-09-2016;1;0,65;0,699;5,5;29,914;7,27;1,43;3,3;2,6;71;69;68;66;1,3
22-09-2016;1;0,651;0,699;5,557;29,509;;1,36;3,9;2,5;72;69;68;66;1,29
22-09-2016;1;0,652;0,704;5,492;30,153;;1,37;2,744;2,5;70;69;67,121;66;1,32
29-09-2016;2;0,661;1,605;16,042;38,298;7,89;2,315;4,2;3,7;76;75;72;72;2,064
29-09-2016;2;0,658;1,586;16,058;38,89;;2,386;4,4;3,8;76;76;72;72;2,02
29-09-2016;2;0,66;1,622;16,127;38,273;;2,379;4,1;3,8;76;74;72;70;2,02
29-09-2016;1;0,615;0,572;6,056;29,845;7,32;1,329676;3;2,6;67;67;64;64;1,24
29-09-2016;1;0,611;0,587;6,108;29,345;;1,349024;2,6;2,6;66;66;64;64;1,13
29-09-2016;1;0,619;0,599;6,159;29,146;;1,32584;3;2,6;66;66;64;64;1,19
06-10-2016;2;0,71;1,238;12,453;37,316;8;1,914;3,4;3,3;78;78;75;75;1,82
06-10-2016;2;0,712;1,247;12,881;37,24;;1,831;3,4;3,3;78;77;75;75;1,72
06-10-2016;2;0,7;1,251;12,408;37,61;;1,944;3,4;3,3;77;77;74;74;1,72
06-10-2016;1;1,098;0,341;5,85;29,59;7,84;1,257716;2,3;2,3;64;64;62;62;1,23
06-10-2016;1;1,097;0,35;5,537;29,968;;1,30596;2,8;2,7;64;64;62;62;1,25
06-10-2016;1;1,097;0,354;5,418;30,043;;1,30484;2,3;2,3;64;64;62;62;1,22
13-10-2016;2;0,743;1,024;8,826;32,52;7,98;1,72;5,1;2,4;69;66;64;64;1,72
13-10-2016;2;0,747;1,027;8,848;32,359;;1,92;4,7;2,5;69;67;64;64;1,72
13-10-2016;2;0,747;1,028;8,39;32,421;;1,912;3,7;2,7;68;67;65;65;1,82
13-10-2016;1;0,653;0,262;7,271;30,877;7,82;0,953;3,6;1,8;71;69;67;67;0,875
13-10-2016;1;0,656;0,271;7,534;30,455;;0,94;4;1,8;70;68;66;66;0,874
13-10-2016;1;0,662;0,271;7,358;30,781;;0,946;3;1,8;70;67;66;65;0,874
06-10-2016;2;0,681;0,807;11,373;35,376;8,09;1,42;3,4;2,7;73;73;70;70;1,37
06-10-2016;2;0,68;0,799;11,605;35,56;;1,46;4,1;2,6;73;71;69;69;1,4
06-10-2016;2;0,677;0,8;11,536;35,101;;1,47;4,4;2,6;71;70;67;67;1,4
06-10-2016;1;0,546;0,207;7,124;31,276;7,92;0,79;2,1;1,9;65;65;63;63;0,562
06-10-2016;1;0,544;0,206;7,294;31,62;;0,714;3,9;1,9;65;64;62;62;0,56
06-10-2016;1;0,544;0,202;7,462;31,196;;0,835;3,2;1,8;65;64;62;62;0,561
20-10-2016;2;0,504;0,663;15,438;38,849;8,15;1,41;6,2;2,2;71;67;65;65;1,2
20-10-2016;2;0,511;0,654;15,701;38,76;;1,41;6,3;2,3;71;67;65;65;1,19
20-10-2016;2;0,509;0,658;15,639;39,042;;1,4;6,1;2,3;72;68;66;66;1,19
20-10-2016;1;0,493;0,267;6,76;31,611;7,91;0,734;6,5;2;63;59;57;57;0,766
20-10-2016;1;0,491;0,267;6,978;31,19;;0,74;7,7;1,8;63;57;55;55;0,749
20-10-2016;1;0,496;0,27;6,681;31,654;;0,759;5,3;1,8;62;59;57;57;0,75
29-11-2016;2;;;;;;19;5,5;5;53;52;48;47;18
29-11-2016;2;;;;;;19;5,5;4,9;53;52;48;47;18
29-11-2016;2;;;;;;19;5,5;4,9;53;52;48;47;18
29-11-2016;1;;;;;;10;3,7;3,7;54;53;50;49;9,5
29-11-2016;1;;;;;;10;3,7;3,7;54;53;50;49;9,5
29-11-2016;1;;;;;;9,5;3,7;3,7;54;53;50;49;9,5
09-12-2016;2;;;;;;19;5,5;5;53;52;48;47;18
09-12-2016;2;;;;;;19;5,5;4,9;53;52;48;47,1;18
09-12-2016;2;;;;;;19;5,5;4,9;53;52;48;47,1;18
09-12-2016;1;;;;;;10;3,7;3,7;54;53;50;49,3;9,51
09-12-2016;1;;;;;;10;3,7;3,7;54;53;50;49,3;9,49
09-12-2016;1;;;;;;9,5;3,7;3,7;54;53;50;49,3;9,493
27-01-2017;2;;;;;;7,2;2,4;2,3;71;71;69;69;7,2
27-01-2017;1;;;;;;14;11;10;75;74;64;64;12
09-03-2017;2;;;;;;12;3,8;3,8;81;81;77;77;12
09-03-2017;1;;;;;;5,3;3,1;3;83;83;80;80;5,3
11-05-2017;2;;;;;;12;7;7;86;86;76;76;12
11-05-2017;1;;;;;;5,9;5,4;5,4;68;68;63;63;5,9
16-08-2017;2;;;;;;3,5;2,4;1,2;73;72;71;71;3,4
16-08-2017;1;;;;;;2,1;4,4;2,6;76;75;72;72;2,1
26-09-2017;2;;;;;;3,4;3,3;2,2;107;106;104;104;3,1
26-09-2017;1;;;;;;2,9;7,2;4;107;103;100;99;2,6
